Date,Year,Month,Day,Weekday,Event
1838-11-06,1838,11,6,Tuesday,"Tells Maria Lewis, 'I am generally in the same predicament with books as a glutton with his feast' (Letters 1: 11), current reading including Robert Leighton' s A Practical Commentary upon the First Two Chapters of the First Epistle of St Peter and The Life of William Wilberforce by R. I. and S. Wilberforce. Repeated condemnation of the Coventry oratorio symptomatic of her religious zeal at this period: 'It would not cost me any regrets if the only music heard in our land were that of strict worship' (Letters 1: 44)."
1839-02-06,1839,2,6,Wednesday,"Solicits her aunt Elizabeth to send news of herself."
1839-02-27,1839,2,27,Wednesday,"Writes to Maria Lewis, copying out in the letter Ryland's hymn 'Sovereign Ruler of the Skies’."
1839-03-05,1839,3,5,Tuesday,"Tells her aunt Elizabeth, 'I feel that my besetting sin is . . . ambition, a desire insatiable for the esteem of my fellow creatures' (Letters 1: 19)."
1839-03-16,1839,3,16,Saturday,"Sends a lengthy and earnest letter to Maria Lewis questioning the expedience of reading fiction: 'As to the discipline our minds receive from the perusal of fictions, I can conceive none that is beneficial but may be attained by that of history' (Cross 1: 52-3)."
1839-05-20,1839,5,20,Monday,"Disapproves of the Tractarian movement in letter to Maria Lewis."
1839-07-17,1839,7,17,Wednesday,"Sends Maria Lewis a poem, As o'er the Fields: the crude fruit of a lonely walk last evening, when the words of one of our martyrs occurred to me (Letters 1: 27-28)."
1839-09-04,1839,9,4,Wednesday,"Sends Maria Lewis another early poem she calls Sonnet, beginning, 'Oft, when a child...' (Letters 1: 30)."
1839-11-22,1839,11,22,Friday,"Twentieth birthday."
1840-01-14,1840,1,14,Tuesday,"Tells Martha Jackson that she has been reflecting on 'the duty of perfect contentment with such things as we have' (Cross 1: 37)."
1840-02-26,1840,2,26,Wednesday,"Writes to her uncle Samuel, 'I have been much exposed to temptation from contact with worldly persons . . . I have great need of your prayers, and I fear not that I shall be denied them' (Cross 1: 40)."
1840-03-13,1840,3,13,Friday,"Tells Maria Lewis of progress with the chart of ecclesiastical history, and asks advice on the formation of a clothing club. Mentions attack of hysteria at a party."
1840-03-30,1840,3,30,Monday,"Sends Maria Lewis an outline of the historical chart, and refers enigmatically to the recent breaking-off of a romance (probably with a young man not of her own religious suasion). She repressed her feelings by a 'prayer to be free from rebelling against Him whose I am by right' (Cross 1: 46). Some High Church reading at this time, including the Tracts for the Times and the Lyra Apostolica."
1840-04-06,1840,4,6,Monday,"Proposes that Martha Jackson always suggest in her letters a subject for intellectual debate: 'You will polish and sharpen me, will you not? Alas: I need melting and remoulding ' (Cross 1: 48)."
1840-04-10,1840,4,10,Friday,"Writes a lengthy letter of sympathy to Edith Kittermaster, following the death of her sister Jane."
1840-05-28,1840,5,28,Thursday,"Discovers that a rival chart of ecclesiastical history has just been published – plans for her own chart subsequently abandoned. Tells Maria Lewis, 'I am a negation of all that finds love and esteem' (Cross 1: 51)."
1840-06-10,1840,6,10,Wednesday,"Asks Maria Lewis to obtain Italian books for her in London."
1840-06-18,1840,6,18,Thursday,"Arrives with her father at Wirksworth, Derbyshire, where they stay with her uncle Samuel and aunt Elizabeth at the beginning of a week's tour. Comparative lack of enjoyment of this visit indicative of the growth of her religious doubts: 'I think I was simply less devoted to religious ideas' she subsequently recalled (Cross 3: 176)"
1840-06-19,1840,6,19,Friday,"Move on to stay with William Evans."
1840-06-22,1840,6,22,Monday,"Return to Griff."
1840-06-23,1840,6,23,Tuesday,"Writes to Maria Lewis about her recent journey."
1840-07-06,1840,7,6,Monday,"Tells Maria Lewis that she and her father intend to move to Coventry."
1840-07-30,1840,7,30,Thursday,"Under the nom de plume of Clematis asks Martha Jackson (or 'Ivy') to visit her."
1840-08-10,1840,8,10,Monday,"Tells her uncle Samuel, 'I cannot for her own sake regret that my dear Aunt is so near the very brink of Jordan' (Letters 1: 61)."
1840-09-23,1840,9,23,Wednesday,"Begins four-day visit with Isaac to his fiancée Sarah Rawlins at Edgbaston, near Birmingham."
1840-10-20,1840,10,20,Tuesday,"Writes to Martha Jackson, 'Every day's experience seems to deepen the voice of foreboding that has long been telling me, the bliss of reciprocated affection is not alloted to you under any form' (Letters 1: 70)."
1840-10-27,1840,10,27,Tuesday,"Tells Maria Lewis that she has adopted Certum pete finem ('Seek a sure end') as her motto."
1841-01-15,1841,1,15,Friday,"Inspects possible new house (Bird Grove, at Foleshill) with her father, who agrees to purchase it."
1841-01-27,1841,1,27,Wednesday,"Visits the Nicholas Chamberlaine Hospital, an almshouse near Griff."
1841-02-08,1841,2,8,Monday,"With her father, buys furniture for their new home."
1841-03-09,1841,3,9,Tuesday,"Regrets that preparations for the move to Foleshill have prevented her writing sooner to her uncle Samuel."
1841-03-17,1841,3,17,Wednesday,"Isaac drives GE to Foleshill to prepare for her father's arrival."
1841-03-19,1841,3,19,Friday,"Robert Evans arrives at Foleshill."
1841-04-11,1841,4,11,Sunday,"Receives Easter Day communion with her father at Trinity Church, Coventry, where they become regular attenders."
1841-05-20,1841,5,20,Thursday,"Suggests that Maria Lewis might become governess to the Whittem family. "
1841-06-03,1841,6,3,Thursday,"Robert Evans takes GE and Chrissey to see their half-sister, Fanny Houghton, at Baginton, near Coventry."
1841-06-07,1841,6,7,Monday,"Travels to Edgbaston with Isaac."
1841-06-08,1841,6,8,Tuesday,"Acts as bridesmaid at Isaac's wedding to Sarah Rawlins. The couple honeymoon in the Lakes and Scotland before returning to live at Griff."
1841-06-09,1841,6,9,Wednesday,"Visits Chrissey at Meriden."
1841-06-20,1841,6,20,Sunday,"Drives to Kenilworth with her father to hear Henry Montagu Villiers (later Bishop of Durham) preach his final missionary sermon in the parish."
1841-07-21,1841,7,21,Wednesday,"Agrees with Maria Lewis's determination to advertise for a position."
1841-07-31,1841,7,31,Saturday,"Tells Maria Lewis 'I am beginning to be interlaced with multiplying ties of duty and affection that, while they render my new home happier, forbid me to leave it on a pleasure-seeking expedition' (Letters 1: 101)."
1841-08-12,1841,8,12,Thursday,"Tells Maria Lewis of the force of her realisation that she is 'alone in the world' (Letters 1: 102)."
1841-08-21,1841,8,21,Saturday,"Thanks Maria Lewis for obtaining books for her (including Chalmers' Sermons) in London."
1841-09-03,1841,9,3,Friday,"In a letter to Maria Lewis analyses the parable of the sower, and recommends Henry Hallam's Introduction to the Literature of Europe, remarking, 'I love words; they are the quoits, the bows, the staves that furnish the gymnasium of the mind' (Letters 1: 107-108)."
1841-10-02,1841,10,2,Saturday,"Sends her uncle Samuel favourable news of her father and brother."
1841-10-16,1841,10,16,Saturday,"Asks Maria Lewis if she would object to becoming governess to a Nonconformist family, and bewails her own lack of social involvement: 'I am supine and stupid . . . while the haggard looks and piercing glance of want and conscious hopelessness are to be seen in the streets' (Letters 1: 116)."
1841-11-02,1841,11,2,Tuesday,"Taken to visit Charles and Caroline Bray at their house, Rosehill, overlooking Coventry, by Charles Bray's sister, Elizabeth Pears, a neighbour of the Evanses at Foleshill. Immediately becomes attracted to them. 'It is impossible to overestimate the importance of Mary Ann's introduction to the Brays . . . She was quickly brought from provincial isolation into touch with the world of ideas' (Haight, pp. 44, 46).  Reads Charles Hennell' s An Inquiry Concerning the Origin of Christianity (1838) as a result of this introduction."
1841-11-13,1841,11,13,Saturday,"Writes to Maria Lewis, 'My whole soul has been engrossed in the most interesting of all inquiries for the last few days, and to what results my thoughts may lead, I know not – possibly to one that will startle you' (Letters 1: 120)."
1841-12-16,1841,12,16,Thursday,"Recommends Carlyle's Sartor Resartus to Martha Jackson."
1841-12-27,1841,12,27,Monday,"Maria Lewis (who had stayed over Christmas) and Robert Evans temporarily leave Foleshill. "
1842-01-01,1842,1,1,Saturday,"Urges Maria Lewis to return to Foleshill and to stay for as long as she wishes. Maria Lewis arrives in the evening."
1842-01-02,1842,1,2,Sunday,"Refuses to accompany her father and Maria Lewis to church, her first familial display of her religious change of heart, causing several subsequent pleas to change her mind, from both family and friends."
1842-01-14,1842,1,14,Friday,"Maria Lewis leaves Foleshill for her new school at Nuneaton."
1842-01-16,1842,1,16,Sunday,"Again refuses to accompany her father to church."
1842-01-24,1842,1,24,Monday,"Robert Evans pays his son-in-law Edward Clarke £250 to purchase a house, the commencement of the Clarkes' money troubles."
1842-01-28,1842,1,28,Friday,"First written acknowledgement of change in personal theology in letter to Elizabeth Pears: 'I wish to be among the ranks of that glorious crusade that is seeking to set Truth's Holy Sepulchre free from a usurped domination.' Of the scriptures, she writes, 'I regard these writings as histories consisting of mingled truth and fiction.' (Letters 1: 106)."
1842-02-18,1842,2,18,Friday,"Tells Maria Lewis, 'having had my propensities, sentiments, and intellect gauged a second time, I am pronounced to possess a large organ of adhesiveness, a still larger one of firmness, and as large of conscientiousness' (Letters 1: 107-8)."
1842-02-24,1842,2,24,Thursday,"Has her conduct reproved by her brother Isaac."
1842-02-28,1842,2,28,Monday,"Writes to her father, announcing her determination not 'visibly to unite myself with any Christian community.'  Of the scriptures, she writes, 'I regard these writings as histories consisting of mingled truth and fiction.' Offers to leave Foleshill should he wish (Letters 1: 128)."
1842-03-03,1842,3,3,Thursday,"Robert Evans plans to leave Foleshill, chiefly as a result of his daughter's conduct."
1842-03-06,1842,3,6,Sunday,"Writes to Cara Bray, regretting condemnation of the Evans family in an interview of that morning."
1842-03-12,1842,3,12,Saturday,"Advises Cara Bray that it would be unwise for Elizabeth Pears to seek an interview with Robert Evans. Considering leaving her father and supporting herself by teaching in Leamington."
1842-03-23,1842,3,23,Wednesday,"Robert Evans, succumbing to the pleas of Rebecca Franklin and Elizabeth Pears, sends GE to live with Isaac at Griff. GE recalls, 'I came hither . . . in compliance with my Father's wish that I should retire for a time from a neighbourhood in which I had been placed on the very comfortable pedestal of the town gazing-stock' (Letters I, 133, 138)."
1842-03-26,1842,3,26,Saturday,"Robert Evans postpones the sale of his house."
1842-03-31,1842,3,31,Thursday,"GE tells Elizabeth Pears that 'on a retrospection of the past month, I regret nothing so much as my own impetuosity' (Letters 1: 134; Cross 1: 112)."
1842-04-11,1842,4,11,Monday,"Writes to Francis Watts, professor of theology at Spring Hill College, Birmingham, discussing her doubts, and expressing her desire to translate R. A. Vinet' s Mémoire en Javeur de la liberté des cultes."
1842-04-20,1842,4,20,Wednesday,"Tells Cara Bray that Robert Evans has agreed to GE's return to him after a time."
1842-04-30,1842,4,30,Saturday,"Following an agreement to attend church with her father (whilst tacitly withholding assent from the worship), GE returns to Foleshill. Cross records, 'In the last year of her life [GE] told me that, although she did not think she had been to blame, few things had occasioned her more regret than this temporary collision with her father, which might, she thought, have been avoided by a little management' (Letters 1: 113)."
1842-05-01,1842,5,1,Sunday,"Visits Cara Bray at Rosehill, and is shown letters from her brother, Charles Hennell."
1842-05-15,1842,5,15,Sunday,"Attends church with her father."
1842-05-22,1842,5,22,Sunday,"Again attends church with her father."
1842-05-27,1842,5,27,Friday,"Invites Maria Lewis to visit Foleshill in the coming holiday."
1842-07-03,1842,7,3,Sunday,"Sara Hennell arrives for a six-week stay at Rosehill. GE introduced to her during this month, and visits Rosehill when able to leave her father. Cross remarks, 'The two ladies- Cara and Sara . . . - now became like sisters to Miss Evans, and Mr Bray her most intimate male friend' (Cross 1: 114)."
1842-07-30,1842,7,30,Saturday,"Edward Clarke and his family, still in financial difficulties, arrive for a three-day visit to Foleshill."
1842-08-03,1842,8,3,Wednesday,"Tells Francis Watts, 'It seems to me that the awful anticipations entailed by a reception of all the dogmas in the New Testament operate unfavourably on moral beauty' (Letters 1: 144)."
1842-08-12,1842,8,12,Friday,"Sara Hennell leaves Rosehill."
1842-08-30,1842,8,30,Tuesday,"Thanks Sara Hennell for writing to her."
1842-10-20,1842,10,20,Thursday,"Tells Sara Hennell that she has again met W. B. Ullathorne at Rosehill."
1842-11-04,1842,11,4,Friday,"Resumes correspondence with Martha Jackson, left off because GE feared that her new opinions might give offence. Reports that her life is now 'peaceful and happy to a degree that I little anticipated some months ago' (Letters 1: 152)."
1842-11-23,1842,11,23,Wednesday,"Sends birthday greetings to Sara Hennell, the first of many exchanges of birthday letters between them."
1842-12-25,1842,12,25,Sunday,"The assembled Evans family discuss the desirability of GE's further association with the Bray circle."
1843-02-22,1843,2,22,Wednesday,"Cara Bray records Robert Evans's refusal to carry out Isaac Evans' s plan of moving from Foleshill to Meriden, so that GE may be removed from the Brays' influence."
1843-03-16,1843,3,16,Thursday,"Death of Mary Hennell."
1843-07-13,1843,7,13,Thursday,"Sets out with the Brays, the Hennells and Rufa Brabant for three-week holiday, visiting Bristol, Tenby, Pembroke and Swansea. Rufa Brabant and Charles Hennell renew their engagement during this trip."
1843-08-02,1843,8,2,Wednesday,"Returns to Foleshill."
1843-09-15,1843,9,15,Friday,"Dines with Robert Owen at Rosehill: 'I think if his system prosper it will be in spite of its founder' she reports to Sara Hennell (Letters 1: 161; Cross 1: 119)."
1843-09-16,1843,9,16,Saturday,"Thanks Sara Hennell for procuring her a copy of Hymns and Anthems, edited by W. J. Fox."
1843-10-09,1843,10,9,Monday,"Sends Sara Hennell a lengthy letter about loss of faith, stressing 'the truth of feeling, as the only universal bond of union' (Letters 1: 162; Cross 1: 122)."
1843-10-28,1843,10,28,Saturday,"Arrives in London, where she enjoys some sightseeing both before and after the Brabant-Hennell wedding."
1843-11-01,1843,11,1,Wednesday,"Acts as bridesmaid at the wedding of Rufa Brabant to Charles Hennell at Finsbury."
1843-11-07,1843,11,7,Tuesday,"Goes to stay at Devizes, Wiltshire, with Dr Robert Brabant."
1843-11-08,1843,11,8,Wednesday,"Sends Cara Bray a favorable account of her reception by the Brabants."
1843-11-20,1843,11,20,Monday,"Again enthuses about the Brabants in a letter to Cara Bray: 'I am in a little heaven here, Dr Brabant being its archangel . . . I am never weary of his company' (Letters 1: 165). Her relationship with Brabant, 'an intellectual friendship drawn by over-ready expansiveness into feelings misunderstood' (Haight, p. 52), begins to assume a proleptic character."
1843-11-30,1843,11,30,Thursday,"Tells Cara Bray that her return to Coventry is imminent, though concealing the problems caused by Dr Brabant' s affection for her."
1843-12-04,1843,12,4,Monday,"Returns to Coventry from Devizes, indignant at Dr Brabant' s ungenerous behaviour after his wife's insistence that GE should leave the house."
1844-02-22,1844,2,22,Thursday,"Cornelius Donovan gives GE and Charles Bray a lesson in phrenology."
1844-03-03,1844,3,3,Sunday,"Asks Sara Hennell to clarify who is providing the funding for the Strauss translation, and whether the manuscript is to be sent directly to the publisher."
1844-03-18,1844,3,18,Monday,"Hears Daniel O'Connell speak in Coventry."
1844-06-18,1844,6,18,Tuesday,"Thanks Cara Bray for sending an account of her visit to Clapton, East London."
1844-06-30,1844,6,30,Sunday,"Leaves with the Brays for seventeen-day holiday at the Cumberland lakes, visiting James Martineau and his family in Manchester on the journey home. For Cara Bray's account of the trip see Letters 1: 178-80."
1844-07-22,1844,7,22,Monday,"Begins three-day trip with Bray to London, where they visit a phrenologist, James Deville."
1844-09-14,1844,9,14,Saturday,"Writes to Sara Hennell regretting the long gap since they last saw each other."
1844-10-31,1844,10,31,Thursday,"Tells Sara Hennell that she hopes to have finished vol. I of Life of Jesus by the end of November. Apologises to Martha Jackson for the long gap in their correspondence."
1845-03-26,1845,3,26,Wednesday,"Visited by the young artist, but her interest in him subsides."
1845-03-27,1845,3,27,Thursday,"Writes to break off their relationship."
1845-04-06,1845,4,6,Sunday,"Writes to Sara Hennell: 'My unfortunate affaire . . . I have now dismissed . . . from my mind, and only keep it recorded in my book of reference, article Precipitancy, ill effects of' (Letters 1: 185). Also oppressed by her translation work."
1845-04-17,1845,4,17,Thursday,"First meeting with Harriet Martineau: 'She is a charming person - quite one of those people whom one does not venerate the less for having seen' (Letters 1: 189)."
1845-04-21,1845,4,21,Monday,"Writes to Martha Jackson, giving details of her translation work and mentioning her ended involvement with the young artist."
1845-04-29,1845,4,29,Tuesday,"Thanks Sarah Hennell for her painstaking assistance with the copy-editing of Life of Jesus."
1845-05-25,1845,5,25,Sunday,"Writes to Cara Bray, giving her comments on Disraeli's Sybil."
1845-06-02,1845,6,2,Monday,"Begins three-day trip to London with Bray."
1845-09-25,1845,9,25,Thursday,"Delighted with first section of proof of Life of Jesus."
1845-10-12,1845,10,12,Sunday,"Forced to withdraw from the Brays' projected trip to Scotland because of the bankruptcy of her brother-in-law Edward Clarke."
1845-10-14,1845,10,14,Tuesday,"At the last minute, intervention by Bray enables GE to accompany the Brays on their holiday, visiting Liverpool (where they renew contact with the Martineaus), Glasgow, Loch Lomond, Loch Katrine, Stirling, Edinburgh and Abbotsford. Cara Bray remarks, 'We were all in ecstasies, but Mary Anne's were beyond everything' (Letters 1: 201)."
1845-10-24,1845,10,24,Friday,"Learns of her father's broken leg."
1845-10-28,1845,10,28,Tuesday,"Arrives home."
1845-12-18,1845,12,18,Thursday,"Complains to Sara Hennell about quality of printing of Greek in Life of Jesus proof."
1846-01-26,1846,1,26,Monday,"Explains to Sarah Hennell that the illness of herself and her father has impeded translation work."
1846-02-14,1846,2,14,Saturday,"Cara Bray reports that GE has not enjoyed 'dissecting the beautiful story of the crucifixion' and is nervous about public reception of her translation. Her father's illness has also been a cause of anxiety (Letters 1: 206; Cross 1: 139)."
1846-03-04,1846,3,4,Wednesday,"Tells Sara Hennell that she has not enjoyed translating Strauss's accounts of the crucifixion and resurrection of Jesus, or the bursting asunder of Judas."
1846-05-27,1846,5,27,Wednesday,"Delighted by Strauss' s preface to her translation."
1846-06-26,1846,6,26,Friday,"Begins eleven-day visit to Sara Hennell in Clapton."
1846-07-15,1846,7,15,Wednesday,"translation of D. F. Strauss's The Life of Jesus, begun in 1844, appears anonymously, published by John Chapman in 3 volumes."
1846-09-07,1846,9,7,Monday,"Visits Dover with her father for a fortnight, and becomes considerably distressed by the deterioration in his health."
1846-10-25,1846,10,25,Sunday,"Sara Hennell remarks that GE 'must be writing her novel', an engimatic speculation (Letters 1: 233)."
1846-10-05,1846,10,5,Monday,"Reports herself in high spirits to Sara Hennell, asking her to write more frequently."
1846-10-21,1846,10,21,Wednesday,"Writes a burlesquely humorous letter to Charles Bray, imagining herself proposed to by Professor Biicherworm of Moderig University."
1846-10-30,1846,10,30,Friday,"Review of Christianity in its Various Aspects, by Quinet, of The Jesuits, by Quinet and Michelet, and of Priests, Women and Families, by Michelet alone, appears in the Coventry Herald."
1846-11-04,1846,11,4,Wednesday,"Review of Gilbert à Beckett's The Comic History of England appears in the Herald."
1846-11-05,1846,11,5,Thursday,"Tells Sara Hennell that she would like to complete her collection of Xenophon's works, and reassures her about the extent of her regard for Brabant: 'If ever I offered incense to him it was because there was no other deity at hand' (Letters 1: 225)."
1846-11-15,1846,11,15,Sunday,"Expresses her qualified satisfaction with the review of Life of Jesus in the Prospective Review: 'The praise it gives to the translation is just what I should have wished' (Letters 1: 227; Cross 1: 150)."
1846-11-26,1846,11,26,Thursday,"Discusses St Luke's account of the Emmaus Road in letter to Sara Hennell."
1846-12-04,1846,12,4,Friday,"GE publishes 'Introductory', the first of five instalments of her 'Poetry and Prose from the Notebook of an Eccentric' appears in the Coventry Herald, owned by Charles Bray."
1846-12-20,1846,12,20,Sunday,"Thanks Sara Hennell for the opportunity of seeing her manuscript Heliados."
1846-12-25,1846,12,25,Friday,"Over Christmas GE makes her final break with Maria Lewis, who is staying for a fortnight."
1847-01-15,1847,1,15,Friday,"'How to Avoid Disappointment', the second instalment of 'Poetry and Prose from the Notebook of an Eccentric', appears in the Herald."
1847-02-05,1847,2,5,Friday,"Third instalment of 'Poetry and Prose from the Notebook of an Eccentric', 'The Wisdom of a Child', appears in the Herald."
1847-02-12,1847,2,12,Friday,"The Herald publishes the fourth instalment, 'A Little Fable with a Great Moral'."
1847-02-19,1847,2,19,Friday,"The Herald publishes the final instalment, 'Hints on Snubbing'."
1847-02-26,1847,2,26,Friday,"'Vice and Sausages', a satirical piece on the Coventry police inspector John Vice, appears in the Herald."
1847-02-28,1847,2,28,Sunday,"Tells Sara Hennell, 'Mr Chapman . . . was always too much of the interesting gentleman to please me. Men must not attempt to be interesting on any lower terms than a high poetical genius' (Letters 1: 231)."
1847-04-24,1847,4,24,Saturday,"Begins five-day visit to London with Charles Bray."
1847-04-28,1847,4,28,Wednesday,"Attends performance of Mendelssohn's Elijah at the Exeter Hall."
1847-04-29,1847,4,29,Thursday,"Sees Bellini's I Puritani at Her Majesty's Theatre."
1847-05-10,1847,5,10,Monday,"Gives Mary Sibree an account of her London trip."
1847-09-16,1847,9,16,Thursday,"After rereading Charles Hennell's Inquiry, sends Sara Hennell a lengthy appreciation of the work: 'I think the Inquiry furnishes the utmost that can be done towards obtaining a real view of the life and character of Jesus by rejecting as little as possible from the Gospels'' (Letters 1: 237; Cross 1: 165)."
1847-09-27,1847,9,27,Monday,"Takes her father to the Isle of Wight to improve his health."
1847-10-03,1847,10,3,Sunday,"Sends the Brays a cheerful account of her Isle of Wight visit."
1847-10-06,1847,10,6,Wednesday,"Takes her father to Brighton."
1847-10-09,1847,10,9,Saturday,"Returns from the Isle of Wight."
1847-10-13,1847,10,13,Wednesday,"Describes Alum Bay and Brighton in letter to Sara Hennell. Reading Richardson's Sir Charles Grandison with enthusiasm."
1847-11-27,1847,11,27,Saturday,"Tells Sara Hennell of two new readers of Strauss – a Leamington lady (probably Caroline Congreve) and John Sibree, remarking, 'I confess to a fit of destructiveness just now which might have been more easily gratified if I had lived in the days of iconoclasm' (Letters 1: 241)."
1848-02-11,1848,2,11,Friday,"Sends lengthy letter, including discussion of Tancred and Judaism, to John Sibree, with whom she had begun to correspond late in 1847."
1848-02-21,1848,2,21,Monday,"Death of Leonard Clarke, nephew (Chrissey's son), aged nine months."
1848-03-08,1848,3,8,Wednesday,"Pleased to note John Sibree's agreement with her enthusiasm for the French revolution, also giving her own opinions on British reform: 'there is nothing in our Constitution to obstruct the slow progress of political reform. This is all we are fit for at present . . . we English are slow crawlers' (Letters 1: 252; Cross 1: 181)."
1848-04-11,1848,4,11,Tuesday,"Has tooth withdrawn after chloroform."
1848-04-14,1848,4,14,Friday,"Delighted to hear of Sara Hennell's encounter with Emerson."
1848-04-17,1848,4,17,Monday,"Worried by deterioration in her father's health."
1848-04-26,1848,4,26,Wednesday,"Reports to Sara Hennell a decided improvement in her father's health."
1848-04-25,1848,4,25,Tuesday,"Tells Fanny Houghton that their father's health is now sufficiently recovered for him to be able to contemplate a recuperative visit to the coast."
1848-04-29,1848,4,29,Saturday,"Takes her father to St Leonards, Sussex."
1848-04-30,1848,4,30,Sunday,"Tells the Brays that her father's health fared better on the journey down than her own did."
1848-05-14,1848,5,14,Sunday,"Writes to congratulate John Sibree on abandoning his training for the ministry: 'It was impossible to think of your career with hope, while you tacitly subscribed to the miserable etiquette . . . of sectarianism' (Letters 1: 261; Cross 1: 183)."
1848-06-08,1848,6,8,Thursday,"Writes to the Brays and Hennells deploring the impeachment of the French revolutionary Louis Blanc, and angry because 'society is training men and women for hell' (Letters 1: 267; Cross 1: 190)."
1848-06-11,1848,6,11,Sunday,"Reports decline in her father's health to Bray, recording also her disapproval of Jane Eyre."
1848-06-23,1848,6,23,Friday,"Tells Sara Hennell, 'I am entering on a new period of my life, which makes me look back on the past as something incredibly poor and contemptible.' Comments also on the fall of the French Socialist party: 'Paris, poor Paris - alas! alas!' (Letters 1: 269-70; Cross 1: 190-91)."
1848-07-13,1848,7,13,Thursday,"Introduced by the Brays to Emerson: 'the first man I have ever seen' (Letters 1: 270; Cross 1: 191). The party visit Stratford, Emerson becoming much impressed by GE: 'That young lady has a calm, serious soul' (Haight, p. 66). Also Letters 1: 271, note 7, details the date of Eliot's introduction to Emerson as Thursday, the day after Emerson arrived. "
1848-09-11,1848,9,11,Monday,"Cara Bray tells Sara Hennell that Robert Evans' s death appears imminent."
1849-02-04,1849,2,4,Sunday,"Writes to Sara Hennell, admiring Macaulay and Sand, and reporting, 'My body is the defaulter - consciously so. I triumph over all things in the spirit, but the flesh is weak, and disgraces itself by headaches and backaches' (Letters 1: 275). Tells her sister Fanny, 'We may satirise characters and qualities in the abstract without injury to our moral nature, but persons hardly ever' (Letters 1:  276)."
1849-02-09,1849,2,9,Friday,"Sends lengthy appreciation of Rousseau and Sand to Sara Hennell."
1849-03-10,1849,3,10,Saturday,"Begins to translate Spinoza's Tractatus theologico-politicus (the translation has not been found)."
1849-03-16,1849,3,16,Friday,"Review of J. A. Froude' s Nemesis of Faith appears in the Herald."
1849-03-22,1849,3,22,Thursday,"Froude congratulates GE on her review, with some affection."
1849-04-18,1849,4,18,Wednesday,"Tells Sara Hennell of her admiration for Nemesis of Faith and recommends Froude's Shadows of the Clouds."
1849-04-25,1849,4,25,Wednesday,"Reports her father much deteriorated in health."
1849-05-10,1849,5,10,Thursday,"Tells Elizabeth Pears that Robert Evans has remembered her with gratitude and affection, adding that 'my chair by father's bedside is a very blessed seat to me' (Letters 1: 275; Cross 1: 203)."
1849-05-31,1849,5,31,Thursday,"Death of Robert Evans: 'What shall I be without my father? It will seem as if a part of my moral nature were gone' (Letters 1: 284; Cross 1: 205). "
1849-06-05,1849,6,5,Tuesday,"Requests Bray's advice and help."
1849-06-06,1849,6,6,Wednesday,"Robert Evans buried at Chilvers Coton."
1849-06-07,1849,6,7,Thursday,"Meets J. A. Froude."
1849-06-12,1849,6,12,Tuesday,"Leaves with the Brays for continental tour, visiting France, Italy and Switzerland, in which she eventually decides to winter. Begins her Journal."
1849-07-25,1849,7,25,Wednesday,"The Brays return home, leaving GE at Geneva."
1849-07-27,1849,7,27,Friday,"Sends Bray an account of her life in a pension owned by a Madame de Vallière."
